Autor,Comunidade_ID,Gênero
Karen Ribeiro,0,Mulher
Aline M. M. M. Amaral,1,Mulher
Guilherme G. Arcencio,11,Homem
Bruno Masquio,14,Homem
Paulo E. D. Pinto,14,Homem
Juliana Magalhães,4,Mulher
Michel S. Bonfim,5,Homem
Uéverton S. Souza,14,Homem
Sabrina B. Sassi,0,Mulher
Eduardo C. Xavier,18,Homem
Ueverton Souza,14,Homem
Suzany Angeli,7,Mulher
Leomar S. da Rosa Jr.,8,Homem
Welverton Rodrigues da Silva,18,Homem
Milene Selbach Silveira,7,Mulher
Renato Mota,10,Homem
Renata Figueiredo,15,Mulher
Lucas Penning,12,Homem
Allan Mori,1,Homem
Antônio Pinto,13,Homem
Cícero S. Morais,18,Homem
Ana Luísa V. Solórzano,15,Mulher
Eduardo Lima,10,Homem
Carlos A. Silva,13,Homem
Fabrício Neitzke Ferreira,16,Homem
João Choma Neto,1,Homem
Delano Maia,17,Homem
Roberto Parente,11,Homem
Cláudio Machado Diniz,16,Homem
Ariel Teles,13,Homem
Danielle Martins,14,Mulher
Weverson Nascimento,2,Homem
Jeovana Leão,4,Mulher
Aline Vieira de Mello,3,Mulher
Adriano Yasuda,15,Homem
Franciely Souza,10,Mulher
Maikon Costa,13,Homem
Amanda Argou,8,Mulher
Bruno Mota,16,Homem
Flavia Bonomo,14,Mulher
Flávio K. Miyazawa,18,Homem
Eduarda Chagas,13,Mulher
Gleison Souza Diniz Mendonça,14,Homem
Paulo H. Rocha,5,Homem
Rafael Lopes,10,Homem
Cleber S. Peter,12,Homem
Rafael Gomes,13,Mulher
Simone Diniz Junqueira Barbosa,7,Mulher
Rafael G. Trindade,15,Homem
Mateus Santos,7,Homem
Helida Santos,16,Mulher
Eduardo Grampín,6,Homem
Valmir C. Barbosa,14,Homem
Maria Tostes,10,Mulher
Rodrigo S. Miani,6,Homem
Carlos Alberto Severiano Júnior,9,Homem
Marcelo Y. Shigenaga,1,Homem
Sergio Cleger,0,Homem
Daniel Figueiredo,11,Homem
Rafael G. Damasceno,11,Homem
Robson Melo,0,Homem
Rodrigo Bavaresco,12,Homem
Jorge Aranda,12,Homem
Leandro Schneider,15,Homem
Rodrigo Lambrecht,12,Homem
Leonardo Rocha,2,Homem
Fabiano Oliveira,14,Homem
Felipe Oliveira,13,Homem
Ingrid Santos,4,Mulher
Kennedy Nunes,13,Homem
Celso A. Weffort-Santos,18,Homem
Nicolás Hidalgo,6,Homem
Welton T. M. Sousa,13,Homem
Júlia Veiga da Silva,8,Mulher
Bruna Oenning Amador,7,Mulher
Simone Cavalheiro,8,Mulher
Marcela Pessoa,0,Mulher
Eduardo Nogueira,10,Homem
Igor Moraes,2,Homem
Roger Machado,12,Homem
Phablo Moura,11,Homem
Lucas F. Muniz,11,Homem
Matheus Guedes,14,Homem
Eduardo Candido Xavier,18,Homem
Guilherme Andrade,2,Homem
Geraldo Braz Junior,13,Homem
Bruno Gadelha,4,Homem
Michelle G. Cacais,17,Mulher
Ana Marilza Pernas,12,Mulher
Maurício Collares,11,Homem
Diórgenes Y. L. da Rosa,12,Homem
Javier Baliosian,6,Homem
Marcos Gonçalves,2,Homem
João Lopes,12,Homem
Jéssica Azevedo,0,Mulher
Juliano Carvalho,12,Homem
Igor M. Coelho,14,Homem
Jamille Silva,14,Mulher
André F. R. Cordeiro,1,Homem
Maurício M. Neto,17,Homem
Fábio Luiz Usberti,11,Homem
Júlia de Avila dos Santos,8,Mulher
Arison Heltami Rodrigues Uchoa,17,Homem
Guilherme Mota,11,Homem
Wanderson Modesto,10,Homem
Emanuel Coutinho,17,Homem
Kalinka R. L. J. C. Branco,0,Mulher
Mateus Parker Porto,16,Homem
Lillia S. B. Silva,13,Mulher
Valdemar V. Graciano Neto,13,Homem
Felipe Viegas,2,Homem
Douglas Siqueira,5,Homem
Victória Guimarães,4,Mulher
Gabriel Cardoso,13,Homem
Matheus Bessa,13,Homem
Julio B. Herculani,1,Homem
Gislaine C. L. Leal,1,Mulher
Hariel Souza,3,Homem
Ana Shirley Ferreira Silva,18,Mulher
Regiane Macuch,7,Mulher
Jailma da silva,15,Mulher
Leandro Camargo,12,Homem
Mauro Roberto Costa da Silva,18,Homem
Daniel Pinto,13,Homem
Flávia Carvalho,13,Mulher
Alexandre Renato Rodrigues de Souza,16,Homem
Lucas Colucci,11,Homem
Fábio Araújo,10,Homem
Rodolfo A. de Oliveira,4,Homem
Lia Martins,4,Mulher
Davi Viana,13,Homem
Renata V. de Figueiredo,15,Mulher
Cassiano Schneider,15,Homem
Aline Amaral,1,Mulher
Luciana Foss,8,Mulher
Elis Hernandes,1,Mulher
Wemerson Parreira,15,Homem
Tercio Sousa,13,Homem
Tomaz Bisneto,5,Homem
Gilmar Moraes,10,Homem
Lara Morgado da Silva Santos,7,Mulher
Jéssica Mendes,13,Mulher
Yulle G. F. Borges,18,Mulher
Leticia Fleig Dal Forno,7,Mulher
Simone R. S. Souza,1,Mulher
Rosiane Freitas,4,Mulher
Arlindo da Conceição,13,Homem
Simone Fogazzi,3,Mulher
Guilherme Bayer Scheneider,16,Homem
Luiz C. Ferreira,2,Homem
Carla N. Lintzmayer,11,Mulher
Verônica Tabim,12,Mulher
Leonardo Moreira,17,Homem
Eduardo Maroñas Monks,16,Homem
Flavio Miyazawa,18,Homem
Patricia Abe Turato,7,Mulher
Fernando P. Barbosa,15,Homem
Allen Ibiapina,18,Homem
Daniel B. F. Conrado,9,Homem
Bruno L. Netto,11,Homem
Tiago Trotta,2,Homem
Francisco A. Silva,13,Homem
Ana Silva,18,Mulher
Vinicius F. Santos,14,Homem
Adenauer C. Yamin,12,Homem
Sheyla Medeiros,15,Mulher
Levi da Silva,17,Homem
Gerson Cavalheiro,12,Homem
Tássio Naia,11,Homem
João Marcos Cavalcanti,0,Homem
Karla Silva,13,Mulher
Douglas Lima,15,Homem
Lucas Silva,15,Homem
Talita Slavov,8,Mulher
Alexandre Cezar,18,Homem
Wagner Braga Bezerra,17,Homem
Luiz Felipe Chaves,2,Homem
Simone André da Costa Cavalheiro,8,Mulher
Vitor Hugo M. Gomes,2,Homem
Vanessa Dantas,15,Mulher
Hanna Alves,17,Mulher
João Vitor B. Tavares,11,Homem
Daniel C. Cunha,13,Homem
Lucas B. Oliveira,10,Homem
Fábio Silva,14,Homem
Rafael C. S. Schoeury,18,Homem
Matheus Secco,11,Homem
Suellen Barros Ramos,0,Mulher
Roseli da R. Barbosa,5,Mulher
Gabriel Costa,13,Homem
Alan Veloso,10,Homem
Roberta Suero,15,Mulher
Mayara Dal Vesco Hoger,7,Mulher
Luiz Hoffmann,11,Homem
Vitor T. F. de Luca,14,Homem
Gabriel Novy,9,Homem
Fernando Leite,13,Homem
Jonatas Nascimento,15,Homem
Marina Braun Otokovieski,3,Mulher
Alice Fonseca Finger,3,Mulher
João Pedro de Souza,11,Homem
Êrica Peters do Carmo,7,Mulher
Amanda Meincke Melo,3,Mulher
Valderi Leithardt,15,Homem
Cristiano Maciel,0,Homem
Lorrana F. de Castro,4,Mulher
Arthur de C. Callado,5,Homem
Erika Rosas,6,Mulher
Ivyna Rayany Santino Alves,15,Mulher
Marco Antoni,15,Homem
Tanilson D. Santos,14,Homem
Paulo Eustáquio D. Pinto,14,Homem
Giancarlo F. Roberto,14,Homem
Ana Carolina da Silveira de Souza,0,Mulher
André Riker,10,Homem
Alexandre Aragão,13,Homem
Ana Lara Casagrande,0,Mulher
Nathasha Pinto,13,Mulher
María Pía Mazzoleni,14,Mulher
Allysson Allex Araújo,17,Homem
Rogério Albandes,12,Homem
João Gustavo Kienen,4,Homem
Maria Fernanda Abalem Franca Nunes,0,Mulher
Claudomiro Sales,12,Homem
Fábio Botler,11,Homem
Cristina Fernandes,11,Mulher
Antônio Abelém,10,Homem
Andréa Sabedra Bordin,0,Mulher
João V. S. Leite,4,Homem
Arthur Passos,13,Homem
Adauto Filho,10,Homem
Waleska Gonçalves de Lima,0,Mulher
