Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Evento
Clevi Rapkiewicz,Mulher,Nani Castilho,Mulher,WIT
Clevi Rapkiewicz,Mulher,Simone Fogazzi,Mulher,WIT
Nani Castilho,Mulher,Simone Fogazzi,Mulher,WIT
Ana Cristina Oliveira,Mulher,Edlane Alves,Mulher,WIT
Ana Cristina Oliveira,Mulher,Fanny Batista,Mulher,WIT
Ana Cristina Oliveira,Mulher,Karolyne Oliveira,Mulher,WIT
Ana Cristina Oliveira,Mulher,Marcela Tassyany,Mulher,WIT
Ana Cristina Oliveira,Mulher,Thayanne Sousa,Mulher,WIT
Ana Cristina Oliveira,Mulher,Yngrid Cabral,Mulher,WIT
Edlane Alves,Mulher,Fanny Batista,Mulher,WIT
Edlane Alves,Mulher,Karolyne Oliveira,Mulher,WIT
Edlane Alves,Mulher,Marcela Tassyany,Mulher,WIT
Edlane Alves,Mulher,Thayanne Sousa,Mulher,WIT
Edlane Alves,Mulher,Yngrid Cabral,Mulher,WIT
Fanny Batista,Mulher,Karolyne Oliveira,Mulher,WIT
Fanny Batista,Mulher,Marcela Tassyany,Mulher,WIT
Fanny Batista,Mulher,Thayanne Sousa,Mulher,WIT
Fanny Batista,Mulher,Yngrid Cabral,Mulher,WIT
Karolyne Oliveira,Mulher,Marcela Tassyany,Mulher,WIT
Karolyne Oliveira,Mulher,Thayanne Sousa,Mulher,WIT
Karolyne Oliveira,Mulher,Yngrid Cabral,Mulher,WIT
Marcela Tassyany,Mulher,Thayanne Sousa,Mulher,WIT
Marcela Tassyany,Mulher,Yngrid Cabral,Mulher,WIT
Thayanne Sousa,Mulher,Yngrid Cabral,Mulher,WIT
Marcos Alves Vieira,Homem,Sergio Carvalho,Homem,SBCUP
Aldo von Wangenheim,Homem,Christiane Gresse von Wangenheim,Mulher,WEI
Aldo von Wangenheim,Homem,Fernando S. Pacheco,Homem,WEI
Aldo von Wangenheim,Homem,Jean C. R. Hauck,Homem,WEI
Christiane Gresse von Wangenheim,Mulher,Fernando S. Pacheco,Homem,WEI
Christiane Gresse von Wangenheim,Mulher,Jean C. R. Hauck,Homem,WEI
Fernando S. Pacheco,Homem,Jean C. R. Hauck,Homem,WEI
Marcos Diniz,Homem,Marianne Eliasquevici,Mulher,WEI
Alan Fernandes,Homem,Everton Cavalcante,Homem,SEMISH
Alan Fernandes,Homem,Felipe Rocha,Homem,SEMISH
Alan Fernandes,Homem,José Gameleira Neto,Homem,SEMISH
Alan Fernandes,Homem,Luís Felipe Santos,Homem,SEMISH
Alan Fernandes,Homem,Thais Batista,Mulher,SEMISH
Everton Cavalcante,Homem,Felipe Rocha,Homem,SEMISH
Everton Cavalcante,Homem,José Gameleira Neto,Homem,SEMISH
Everton Cavalcante,Homem,Luís Felipe Santos,Homem,SEMISH
Everton Cavalcante,Homem,Thais Batista,Mulher,SEMISH
Felipe Rocha,Homem,José Gameleira Neto,Homem,SEMISH
Felipe Rocha,Homem,Luís Felipe Santos,Homem,SEMISH
Felipe Rocha,Homem,Thais Batista,Mulher,SEMISH
José Gameleira Neto,Homem,Luís Felipe Santos,Homem,SEMISH
José Gameleira Neto,Homem,Thais Batista,Mulher,SEMISH
Luís Felipe Santos,Homem,Thais Batista,Mulher,SEMISH
Gustavo Henrique da Silva Alexandre,Homem,Jesiel Viana da Silva,Homem,WEI
Cristiane Ellwanger,Mulher,Cristina Paludo Santos,Mulher,WIT
Cristiane Ellwanger,Mulher,Mateus Paludo Santos,Homem,WIT
Cristina Paludo Santos,Mulher,Mateus Paludo Santos,Homem,WIT
Celso Alberto Saibel Santos,Homem,Estêvão Bissoli Saleme,Homem,CTD
Celso Alberto Saibel Santos,Homem,George Ghinea,Homem,CTD
Estêvão Bissoli Saleme,Homem,George Ghinea,Homem,CTD
Hugo Rosado,Homem,Marcelo Benedito,Homem,ETC
Alecsander Hennig,Homem,Fernando Zanutto,Homem,ENCompIF
Alecsander Hennig,Homem,Luis Guilherme Eich,Homem,ENCompIF
Alecsander Hennig,Homem,Murillo Weissheimer,Homem,ENCompIF
Alecsander Hennig,Homem,Vanessa Petró,Mulher,ENCompIF
Alecsander Hennig,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Fernando Zanutto,Homem,Luis Guilherme Eich,Homem,ENCompIF
Fernando Zanutto,Homem,Murillo Weissheimer,Homem,ENCompIF
Fernando Zanutto,Homem,Vanessa Petró,Mulher,ENCompIF
Fernando Zanutto,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Luis Guilherme Eich,Homem,Murillo Weissheimer,Homem,ENCompIF
Luis Guilherme Eich,Homem,Vanessa Petró,Mulher,ENCompIF
Luis Guilherme Eich,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Murillo Weissheimer,Homem,Vanessa Petró,Mulher,ENCompIF
Murillo Weissheimer,Homem,Vinicius Hartmann Ferreira,Homem,ENCompIF
Vanessa Petró,Mulher,Vinicius Hartmann Ferreira,Homem,ENCompIF
Antônio Augusto Fröhlich,Homem,Eduardo Augusto Bezerra,Homem,CTD
Antônio Augusto Fröhlich,Homem,João Gabriel Reis,Homem,CTD
Eduardo Augusto Bezerra,Homem,João Gabriel Reis,Homem,CTD
Alex Gliesch,Homem,Marcus Ritt,Homem,CTD
Braz A. S. Junior,Homem,Luciana Foss,Mulher,ETC
Braz A. S. Junior,Homem,Simone A. C. Cavalheiro,Mulher,ETC
Luciana Foss,Mulher,Simone A. C. Cavalheiro,Mulher,ETC
Ana P. G. Lopes,Mulher,Luis F. A. Román,Homem,SBCUP
Ana P. G. Lopes,Mulher,Paulo R. L. Gondim,Homem,SBCUP
Luis F. A. Román,Homem,Paulo R. L. Gondim,Homem,SBCUP
Flávio Rocha,Homem,Hudson Lopes,Homem,WPerformance
Flávio Rocha,Homem,Ricardo Bruno de Oliveira,Homem,WPerformance
Hudson Lopes,Homem,Ricardo Bruno de Oliveira,Homem,WPerformance
Alice Menezes,Mulher,Carlos Figueiredo,Homem,SBCUP
Cristiano Maciel,Homem,Karen da Silva Figueiredo,Mulher,WIT
Alexandre L'erario,Homem,Renata Marques Barros,Mulher,WASHES
Alexandre L'erario,Homem,William Simão de Deus,Homem,WASHES
Renata Marques Barros,Mulher,William Simão de Deus,Homem,WASHES
Cícero F. F. C. Filho,Homem,Manoel S. L. Neto,Homem,SEMISH
Cícero F. F. C. Filho,Homem,Marly G. F. Costa,Mulher,SEMISH
Manoel S. L. Neto,Homem,Marly G. F. Costa,Mulher,SEMISH
Cícero Ferreira Fernandes Costa Filho,Homem,Marly Guimarães Fernandes Costa,Mulher,SEMISH
Flávio Coutinho,Homem,Glívia Barbosa,Mulher,WIT
Flávio Coutinho,Homem,Ismael Silva,Homem,WIT
Flávio Coutinho,Homem,Laura Ribeiro,Mulher,WIT
Flávio Coutinho,Homem,Natália Santos,Mulher,WIT
Glívia Barbosa,Mulher,Ismael Silva,Homem,WIT
Glívia Barbosa,Mulher,Laura Ribeiro,Mulher,WIT
Glívia Barbosa,Mulher,Natália Santos,Mulher,WIT
Ismael Silva,Homem,Laura Ribeiro,Mulher,WIT
Ismael Silva,Homem,Natália Santos,Mulher,WIT
Laura Ribeiro,Mulher,Natália Santos,Mulher,WIT
Manuel M. Oliveira Neto,Homem,Marcos H. Backes,Homem,CTD
Augusto Souza,Homem,Islene Garcia,Mulher,WPerformance
Delano Maia,Homem,Emanuel Coutinho,Homem,WASHES
Delano Maia,Homem,Wagner Braga Bezerra,Homem,WASHES
Emanuel Coutinho,Homem,Wagner Braga Bezerra,Homem,WASHES
Alberto Raiol,Homem,Breno Sousa,Homem,WEI
Alberto Raiol,Homem,Fábio Bezerra,Homem,WEI
Alberto Raiol,Homem,Paulo Cerqueira,Homem,WEI
Alberto Raiol,Homem,Rafael Santos,Homem,WEI
Breno Sousa,Homem,Fábio Bezerra,Homem,WEI
Breno Sousa,Homem,Paulo Cerqueira,Homem,WEI
Breno Sousa,Homem,Rafael Santos,Homem,WEI
Fábio Bezerra,Homem,Paulo Cerqueira,Homem,WEI
Fábio Bezerra,Homem,Rafael Santos,Homem,WEI
Paulo Cerqueira,Homem,Rafael Santos,Homem,WEI
Joel J. P. C. Rodrigues,Homem,Samuel B. Mafra,Homem,SBCUP
Joel J. P. C. Rodrigues,Homem,Vitor A.C. Figueiredo,Homem,SBCUP
Samuel B. Mafra,Homem,Vitor A.C. Figueiredo,Homem,SBCUP
Eduardo H. Teixeira,Homem,Joel J. P. C. Rodrigues,Homem,SBCUP
Eduardo H. Teixeira,Homem,Samuel B. Mafra,Homem,SBCUP
Eduardo H. Teixeira,Homem,Werner A. A. N. da Silveira,Homem,SBCUP
Joel J. P. C. Rodrigues,Homem,Samuel B. Mafra,Homem,SBCUP
Joel J. P. C. Rodrigues,Homem,Werner A. A. N. da Silveira,Homem,SBCUP
Samuel B. Mafra,Homem,Werner A. A. N. da Silveira,Homem,SBCUP
Cleidiane Nunes,Mulher,Ivaldir Júnior,Homem,WASHES
Carina Machado de Farias,Mulher,Sarah Barbosa de Deus,Mulher,WIT
Carina Machado de Farias,Mulher,Steffany Caroline Carvalho Freire,Mulher,WIT
Sarah Barbosa de Deus,Mulher,Steffany Caroline Carvalho Freire,Mulher,WIT
Edson Neto,Homem,Julio Furtado,Homem,WASHES
Albert Lopes,Homem,Carlos Portela,Homem,WEI
Albert Lopes,Homem,Sandra Oliveira,Homem,WEI
Carlos Portela,Homem,Sandra Oliveira,Homem,WEI
Francisco Airton Silva,Homem,Laécio Rodrigues,Homem,WPerformance
Francisco Airton Silva,Homem,Lucas Santos,Homem,WPerformance
Francisco Airton Silva,Homem,Matheus Torquato,Homem,WPerformance
Laécio Rodrigues,Homem,Lucas Santos,Homem,WPerformance
Laécio Rodrigues,Homem,Matheus Torquato,Homem,WPerformance
Lucas Santos,Homem,Matheus Torquato,Homem,WPerformance
Ana Inocêncio,Mulher,Caique Souza,Homem,WEI
Ana Inocêncio,Mulher,Esdras Bispo Jr.,Homem,WEI
Ana Inocêncio,Mulher,Lucas Costa,Homem,WEI
Caique Souza,Homem,Esdras Bispo Jr.,Homem,WEI
Caique Souza,Homem,Lucas Costa,Homem,WEI
Esdras Bispo Jr.,Homem,Lucas Costa,Homem,WEI
Alexandre Hild Aono,Homem,Daniela Leal Musa,Mulher,WEI
Alexandre Hild Aono,Homem,Hugo Vianna Silva Rody,Homem,WEI
Alexandre Hild Aono,Homem,Jurandy Almeida,Homem,WEI
Alexandre Hild Aono,Homem,Vanessa Andrade Pereira,Mulher,WEI
Daniela Leal Musa,Mulher,Hugo Vianna Silva Rody,Homem,WEI
Daniela Leal Musa,Mulher,Jurandy Almeida,Homem,WEI
Daniela Leal Musa,Mulher,Vanessa Andrade Pereira,Mulher,WEI
Hugo Vianna Silva Rody,Homem,Jurandy Almeida,Homem,WEI
Hugo Vianna Silva Rody,Homem,Vanessa Andrade Pereira,Mulher,WEI
Jurandy Almeida,Homem,Vanessa Andrade Pereira,Mulher,WEI
Allen Ibiapina,Homem,Ana Silva,Mulher,ETC
Anderson P. N. Silva,Homem,João C. Xavier-Júnior,Homem,SBCUP
Cláudio Fernando Fernando Resin Geyer,Homem,João Luiz Grave Gross,Homem,SBCUP
Elverton Fazzion,Homem,Osvaldo Fonseca ,Homem,CTIC
Elverton Fazzion,Homem,Welton Augusto Rodrigues Santos,Homem,CTIC
Osvaldo Fonseca ,Homem,Welton Augusto Rodrigues Santos,Homem,CTIC
Bruna Souza,Mulher,Emmerson Silva,Homem,ENCompIF
Bruna Souza,Mulher,Miguel Oliveira,Homem,ENCompIF
Bruna Souza,Mulher,Neila Xavier,Mulher,ENCompIF
Emmerson Silva,Homem,Miguel Oliveira,Homem,ENCompIF
Emmerson Silva,Homem,Neila Xavier,Mulher,ENCompIF
Miguel Oliveira,Homem,Neila Xavier,Mulher,ENCompIF
Cristiano Maciel,Homem,Jéssica Azevedo,Mulher,WIT
Cristiano Maciel,Homem,Karen Ribeiro,Mulher,WIT
Cristiano Maciel,Homem,Silvia Bim,Mulher,WIT
Jéssica Azevedo,Mulher,Karen Ribeiro,Mulher,WIT
Jéssica Azevedo,Mulher,Silvia Bim,Mulher,WIT
Karen Ribeiro,Mulher,Silvia Bim,Mulher,WIT
Ianka T. B. Assis,Mulher,Natália C. Louzada,Mulher,WIT
Ianka T. B. Assis,Mulher,Ramayane B. Braga,Mulher,WIT
Ianka T. B. Assis,Mulher,Thalia S. Santana,Mulher,WIT
Natália C. Louzada,Mulher,Ramayane B. Braga,Mulher,WIT
Natália C. Louzada,Mulher,Thalia S. Santana,Mulher,WIT
Ramayane B. Braga,Mulher,Thalia S. Santana,Mulher,WIT
Arianne Sarmento Torcate,Mulher,Cleiton Soares Martins,Homem,WEI
Arianne Sarmento Torcate,Mulher,Marcos Uryel F. de Farias,Homem,WEI
Arianne Sarmento Torcate,Mulher,Sônia Regina Fortes da Silva,Mulher,WEI
Cleiton Soares Martins,Homem,Marcos Uryel F. de Farias,Homem,WEI
Cleiton Soares Martins,Homem,Sônia Regina Fortes da Silva,Mulher,WEI
Marcos Uryel F. de Farias,Homem,Sônia Regina Fortes da Silva,Mulher,WEI
Anna Marques,Mulher,Maria Fiori,Mulher,WIT
Anna Marques,Mulher,Marina Rocha,Mulher,WIT
Maria Fiori,Mulher,Marina Rocha,Mulher,WIT
Alonso Ali,Homem,Orlando Lee,Homem,ETC
Ecivaldo de Souza Matos,Homem,Euma Silva Santos,Mulher,WEI
Ecivaldo de Souza Matos,Homem,William Fabian Machado Vera,Homem,WEI
Euma Silva Santos,Mulher,William Fabian Machado Vera,Homem,WEI
Leonardo Rocha,Homem,Luiz Felipe Chaves,Homem,CTIC
Leonardo Rocha,Homem,Nícollas Silva,Homem,CTIC
Luiz Felipe Chaves,Homem,Nícollas Silva,Homem,CTIC
Caroline Aparecida de Paula Silva,Mulher,Cândida Nunes da Silva,Mulher,CTIC
Caroline Aparecida de Paula Silva,Mulher,Orlando Lee,Homem,CTIC
Cândida Nunes da Silva,Mulher,Orlando Lee,Homem,CTIC
Caroline Silva,Mulher,Cândida Silva,Mulher,ETC
Caroline Silva,Mulher,Orlando Lee,Homem,ETC
Cândida Silva,Mulher,Orlando Lee,Homem,ETC
Carina Oliveira,Mulher,Daniel Saraiva,Homem,WEI
Carina Oliveira,Mulher,Erica Gallindo,Mulher,WEI
Carina Oliveira,Mulher,Reinaldo Braga,Homem,WEI
Carina Oliveira,Mulher,Silas Pereira,Homem,WEI
Daniel Saraiva,Homem,Erica Gallindo,Mulher,WEI
Daniel Saraiva,Homem,Reinaldo Braga,Homem,WEI
Daniel Saraiva,Homem,Silas Pereira,Homem,WEI
Erica Gallindo,Mulher,Reinaldo Braga,Homem,WEI
Erica Gallindo,Mulher,Silas Pereira,Homem,WEI
Reinaldo Braga,Homem,Silas Pereira,Homem,WEI
Diana Sasaki,Mulher,Mauro N. Alves Junior,Homem,ETC
Adriano H. Braga,Homem,Thalia S. Santana,Mulher,WIT
Enio Pimenta,Homem,Leonardo Medeiros,Homem,ENCompIF
Enio Pimenta,Homem,Marcos Costa,Homem,ENCompIF
Enio Pimenta,Homem,Taígo Pedrosa,Homem,ENCompIF
Leonardo Medeiros,Homem,Marcos Costa,Homem,ENCompIF
Leonardo Medeiros,Homem,Taígo Pedrosa,Homem,ENCompIF
Marcos Costa,Homem,Taígo Pedrosa,Homem,ENCompIF
Igor Moraes,Homem,Júlio César Resende,Homem,CTIC
Igor Moraes,Homem,Leonardo Rocha,Homem,CTIC
Júlio César Resende,Homem,Leonardo Rocha,Homem,CTIC
Antônio Raphael Brito Meireles,Homem,Ingrid dos Santos Vilas Verde,Mulher,ENCompIF
Antônio Raphael Brito Meireles,Homem,Maria Teresinha Tamanini Andrade,Mulher,ENCompIF
Ingrid dos Santos Vilas Verde,Mulher,Maria Teresinha Tamanini Andrade,Mulher,ENCompIF
Larissa Sorato Magnus,Mulher,Luhan da Silva Nunes,Homem,ENCompIF
Larissa Sorato Magnus,Mulher,Lívia Silva Marques,Mulher,ENCompIF
Larissa Sorato Magnus,Mulher,Matheus Lorenzato Braga,Homem,ENCompIF
Larissa Sorato Magnus,Mulher,Matheus da Silva Coelho,Homem,ENCompIF
Larissa Sorato Magnus,Mulher,Victor Martins de Sousa,Homem,ENCompIF
Luhan da Silva Nunes,Homem,Lívia Silva Marques,Mulher,ENCompIF
Luhan da Silva Nunes,Homem,Matheus Lorenzato Braga,Homem,ENCompIF
Luhan da Silva Nunes,Homem,Matheus da Silva Coelho,Homem,ENCompIF
Luhan da Silva Nunes,Homem,Victor Martins de Sousa,Homem,ENCompIF
Lívia Silva Marques,Mulher,Matheus Lorenzato Braga,Homem,ENCompIF
Lívia Silva Marques,Mulher,Matheus da Silva Coelho,Homem,ENCompIF
Lívia Silva Marques,Mulher,Victor Martins de Sousa,Homem,ENCompIF
Matheus Lorenzato Braga,Homem,Matheus da Silva Coelho,Homem,ENCompIF
Matheus Lorenzato Braga,Homem,Victor Martins de Sousa,Homem,ENCompIF
Matheus da Silva Coelho,Homem,Victor Martins de Sousa,Homem,ENCompIF
Augusto V. Neto,Homem,Eduardo Grampín,Homem,SBCUP
Augusto V. Neto,Homem,Erika Rosas,Mulher,SBCUP
Augusto V. Neto,Homem,Javier Baliosian,Homem,SBCUP
Augusto V. Neto,Homem,Martín Gutiérrez,Homem,SBCUP
Augusto V. Neto,Homem,Nicolás Hidalgo,Homem,SBCUP
Augusto V. Neto,Homem,Paulo R. Coelho,Homem,SBCUP
Augusto V. Neto,Homem,Rafael Pasquini,Homem,SBCUP
Augusto V. Neto,Homem,Rodrigo S. Miani,Homem,SBCUP
Eduardo Grampín,Homem,Erika Rosas,Mulher,SBCUP
Eduardo Grampín,Homem,Javier Baliosian,Homem,SBCUP
Eduardo Grampín,Homem,Martín Gutiérrez,Homem,SBCUP
Eduardo Grampín,Homem,Nicolás Hidalgo,Homem,SBCUP
Eduardo Grampín,Homem,Paulo R. Coelho,Homem,SBCUP
Eduardo Grampín,Homem,Rafael Pasquini,Homem,SBCUP
Eduardo Grampín,Homem,Rodrigo S. Miani,Homem,SBCUP
Erika Rosas,Mulher,Javier Baliosian,Homem,SBCUP
Erika Rosas,Mulher,Martín Gutiérrez,Homem,SBCUP
Erika Rosas,Mulher,Nicolás Hidalgo,Homem,SBCUP
Erika Rosas,Mulher,Paulo R. Coelho,Homem,SBCUP
Erika Rosas,Mulher,Rafael Pasquini,Homem,SBCUP
Erika Rosas,Mulher,Rodrigo S. Miani,Homem,SBCUP
Javier Baliosian,Homem,Martín Gutiérrez,Homem,SBCUP
Javier Baliosian,Homem,Nicolás Hidalgo,Homem,SBCUP
Javier Baliosian,Homem,Paulo R. Coelho,Homem,SBCUP
Javier Baliosian,Homem,Rafael Pasquini,Homem,SBCUP
Javier Baliosian,Homem,Rodrigo S. Miani,Homem,SBCUP
Martín Gutiérrez,Homem,Nicolás Hidalgo,Homem,SBCUP
Martín Gutiérrez,Homem,Paulo R. Coelho,Homem,SBCUP
Martín Gutiérrez,Homem,Rafael Pasquini,Homem,SBCUP
Martín Gutiérrez,Homem,Rodrigo S. Miani,Homem,SBCUP
Nicolás Hidalgo,Homem,Paulo R. Coelho,Homem,SBCUP
Nicolás Hidalgo,Homem,Rafael Pasquini,Homem,SBCUP
Nicolás Hidalgo,Homem,Rodrigo S. Miani,Homem,SBCUP
Paulo R. Coelho,Homem,Rafael Pasquini,Homem,SBCUP
Paulo R. Coelho,Homem,Rodrigo S. Miani,Homem,SBCUP
Rafael Pasquini,Homem,Rodrigo S. Miani,Homem,SBCUP
Denilson Novais de Almeida,Homem,Felipe Calegario Nascimento,Homem,WEI
Denilson Novais de Almeida,Homem,Ronney Moreira de Castro,Homem,WEI
Denilson Novais de Almeida,Homem,Sean Wolfgand Matsui Siqueira,Homem,WEI
Felipe Calegario Nascimento,Homem,Ronney Moreira de Castro,Homem,WEI
Felipe Calegario Nascimento,Homem,Sean Wolfgand Matsui Siqueira,Homem,WEI
Ronney Moreira de Castro,Homem,Sean Wolfgand Matsui Siqueira,Homem,WEI
Danielo G. Gomes,Homem,Leonardo Moreira,Homem,SBCUP
Danielo G. Gomes,Homem,Michelle Cacais,Mulher,SBCUP
Danielo G. Gomes,Homem,Weslley L. Caldas,Homem,SBCUP
Leonardo Moreira,Homem,Michelle Cacais,Mulher,SBCUP
Leonardo Moreira,Homem,Weslley L. Caldas,Homem,SBCUP
Michelle Cacais,Mulher,Weslley L. Caldas,Homem,SBCUP
Alessandro Copetti,Homem,Danilo Artigas,Homem,SBCUP
Alessandro Copetti,Homem,Eduardo Gomes,Homem,SBCUP
Alessandro Copetti,Homem,Izabela Mocaiber,Mulher,SBCUP
Alessandro Copetti,Homem,Natália Melgaço Pereira Torres,Mulher,SBCUP
Danilo Artigas,Homem,Eduardo Gomes,Homem,SBCUP
Danilo Artigas,Homem,Izabela Mocaiber,Mulher,SBCUP
Danilo Artigas,Homem,Natália Melgaço Pereira Torres,Mulher,SBCUP
Eduardo Gomes,Homem,Izabela Mocaiber,Mulher,SBCUP
Eduardo Gomes,Homem,Natália Melgaço Pereira Torres,Mulher,SBCUP
Izabela Mocaiber,Mulher,Natália Melgaço Pereira Torres,Mulher,SBCUP
Claiton Correa,Homem,Dariane Abich,Mulher,ENCompIF
Claiton Correa,Homem,Moraes Neto,Homem,ENCompIF
Claiton Correa,Homem,Rafael Parizi,Homem,ENCompIF
Dariane Abich,Mulher,Moraes Neto,Homem,ENCompIF
Dariane Abich,Mulher,Rafael Parizi,Homem,ENCompIF
Moraes Neto,Homem,Rafael Parizi,Homem,ENCompIF
Andre L. M. Silva,Homem,Felipe Morine Magami,Homem,SBCUP
Andre L. M. Silva,Homem,Fábio Nakano,Homem,SBCUP
Andre L. M. Silva,Homem,José J. Pérez-Álcazar,Homem,SBCUP
Andre L. M. Silva,Homem,João S. de Oliveira Neto,Homem,SBCUP
Andre L. M. Silva,Homem,Sergio T. Kofuji,Homem,SBCUP
Felipe Morine Magami,Homem,Fábio Nakano,Homem,SBCUP
Felipe Morine Magami,Homem,José J. Pérez-Álcazar,Homem,SBCUP
Felipe Morine Magami,Homem,João S. de Oliveira Neto,Homem,SBCUP
Felipe Morine Magami,Homem,Sergio T. Kofuji,Homem,SBCUP
Fábio Nakano,Homem,José J. Pérez-Álcazar,Homem,SBCUP
Fábio Nakano,Homem,João S. de Oliveira Neto,Homem,SBCUP
Fábio Nakano,Homem,Sergio T. Kofuji,Homem,SBCUP
José J. Pérez-Álcazar,Homem,João S. de Oliveira Neto,Homem,SBCUP
José J. Pérez-Álcazar,Homem,Sergio T. Kofuji,Homem,SBCUP
João S. de Oliveira Neto,Homem,Sergio T. Kofuji,Homem,SBCUP
André Silva,Homem,Eduardo Xavier,Homem,ETC
André Silva,Homem,Flavio Miyazawa,Homem,ETC
André Silva,Homem,Lucas Melo,Homem,ETC
André Silva,Homem,Marcelo Benedito,Homem,ETC
André Silva,Homem,Natanael Ramos,Homem,ETC
André Silva,Homem,Rafael Cano,Homem,ETC
André Silva,Homem,Ulysses Rocha,Homem,ETC
Eduardo Xavier,Homem,Flavio Miyazawa,Homem,ETC
Eduardo Xavier,Homem,Lucas Melo,Homem,ETC
Eduardo Xavier,Homem,Marcelo Benedito,Homem,ETC
Eduardo Xavier,Homem,Natanael Ramos,Homem,ETC
Eduardo Xavier,Homem,Rafael Cano,Homem,ETC
Eduardo Xavier,Homem,Ulysses Rocha,Homem,ETC
Flavio Miyazawa,Homem,Lucas Melo,Homem,ETC
Flavio Miyazawa,Homem,Marcelo Benedito,Homem,ETC
Flavio Miyazawa,Homem,Natanael Ramos,Homem,ETC
Flavio Miyazawa,Homem,Rafael Cano,Homem,ETC
Flavio Miyazawa,Homem,Ulysses Rocha,Homem,ETC
Lucas Melo,Homem,Marcelo Benedito,Homem,ETC
Lucas Melo,Homem,Natanael Ramos,Homem,ETC
Lucas Melo,Homem,Rafael Cano,Homem,ETC
Lucas Melo,Homem,Ulysses Rocha,Homem,ETC
Marcelo Benedito,Homem,Natanael Ramos,Homem,ETC
Marcelo Benedito,Homem,Rafael Cano,Homem,ETC
Marcelo Benedito,Homem,Ulysses Rocha,Homem,ETC
Natanael Ramos,Homem,Rafael Cano,Homem,ETC
Natanael Ramos,Homem,Ulysses Rocha,Homem,ETC
Rafael Cano,Homem,Ulysses Rocha,Homem,ETC
Júllian Luz,Homem,Letycia Duarte,Mulher,WASHES
Júllian Luz,Homem,Simone Los,Mulher,WASHES
Júllian Luz,Homem,Tiago Nogueira,Homem,WASHES
Letycia Duarte,Mulher,Simone Los,Mulher,WASHES
Letycia Duarte,Mulher,Tiago Nogueira,Homem,WASHES
Simone Los,Mulher,Tiago Nogueira,Homem,WASHES
Erick Hostin,Homem,Ivo Riegel,Homem,ENCompIF
Erick Hostin,Homem,Jefferson Chaves,Homem,ENCompIF
Erick Hostin,Homem,Jeliel Braz,Homem,ENCompIF
Erick Hostin,Homem,Marcio Piffer,Homem,ENCompIF
Erick Hostin,Homem,Yuri Salvador,Homem,ENCompIF
Ivo Riegel,Homem,Jefferson Chaves,Homem,ENCompIF
Ivo Riegel,Homem,Jeliel Braz,Homem,ENCompIF
Ivo Riegel,Homem,Marcio Piffer,Homem,ENCompIF
Ivo Riegel,Homem,Yuri Salvador,Homem,ENCompIF
Jefferson Chaves,Homem,Jeliel Braz,Homem,ENCompIF
Jefferson Chaves,Homem,Marcio Piffer,Homem,ENCompIF
Jefferson Chaves,Homem,Yuri Salvador,Homem,ENCompIF
Jeliel Braz,Homem,Marcio Piffer,Homem,ENCompIF
Jeliel Braz,Homem,Yuri Salvador,Homem,ENCompIF
Marcio Piffer,Homem,Yuri Salvador,Homem,ENCompIF
Jenifer Melissa de Paula,Mulher,José Valter Amaral de Freitas,Homem,ENCompIF
Jenifer Melissa de Paula,Mulher,Thatiane de Oliveira Rosa,Mulher,ENCompIF
José Valter Amaral de Freitas,Homem,Thatiane de Oliveira Rosa,Mulher,ENCompIF
Diego F. Aranha,Homem,Eduardo Morais,Homem,ETC
Diego F. Aranha,Homem,Ricardo Dahab,Homem,ETC
Eduardo Morais,Homem,Ricardo Dahab,Homem,ETC
Adriano Braga,Homem,Ianka Assis,Mulher,WIT
Adriano Braga,Homem,Natália C. Louzada,Mulher,WIT
Adriano Braga,Homem,Ramayane Braga,Mulher,WIT
Adriano Braga,Homem,Thalia Santana,Mulher,WIT
Ianka Assis,Mulher,Natália C. Louzada,Mulher,WIT
Ianka Assis,Mulher,Ramayane Braga,Mulher,WIT
Ianka Assis,Mulher,Thalia Santana,Mulher,WIT
Natália C. Louzada,Mulher,Ramayane Braga,Mulher,WIT
Natália C. Louzada,Mulher,Thalia Santana,Mulher,WIT
Ramayane Braga,Mulher,Thalia Santana,Mulher,WIT
Cristiano Maciel,Homem,Fernanda Pires,Mulher,WIT
Cristiano Maciel,Homem,Jean Rangel,Homem,WIT
Cristiano Maciel,Homem,João Bernado,Homem,WIT
Cristiano Maciel,Homem,Karla Pereira,Mulher,WIT
Cristiano Maciel,Homem,Larissa Pessoa,Mulher,WIT
Cristiano Maciel,Homem,Rosiane Freitas,Mulher,WIT
Cristiano Maciel,Homem,Silvia Bim,Mulher,WIT
Fernanda Pires,Mulher,Jean Rangel,Homem,WIT
Fernanda Pires,Mulher,João Bernado,Homem,WIT
Fernanda Pires,Mulher,Karla Pereira,Mulher,WIT
Fernanda Pires,Mulher,Larissa Pessoa,Mulher,WIT
Fernanda Pires,Mulher,Rosiane Freitas,Mulher,WIT
Fernanda Pires,Mulher,Silvia Bim,Mulher,WIT
Jean Rangel,Homem,João Bernado,Homem,WIT
Jean Rangel,Homem,Karla Pereira,Mulher,WIT
Jean Rangel,Homem,Larissa Pessoa,Mulher,WIT
