Autor,Grau (Centralidade),Gênero
Luis Rivero,0.0166,Homem
Adenauer C. Yamin,0.0133,Homem
Denis Rosário,0.0126,Homem
Maristela Holanda,0.0122,Mulher
Rosiane Freitas,0.0115,Mulher
Mirella M. Moro,0.0092,Mulher
Carla Castanho,0.0092,Mulher
Eduardo Cerqueira,0.0081,Homem
Roberta B. Oliveira,0.0081,Mulher
Cristiano Maciel,0.0081,Homem
Davi Viana,0.0078,Homem
Jorge Barbosa,0.0078,Homem
Thais Batista,0.0074,Mulher
Jayme L. Szwarcfiter,0.0074,Homem
Francisco Airton Silva,0.0074,Homem
Daniel Menasch,0.007,Homem
Rafael Gomes,0.0067,Mulher
Fabiano Oliveira,0.0067,Homem
Geraldo Braz Junior,0.0067,Homem
Helder Oliveira,0.0063,Homem
Fabrício A. Silva,0.0063,Homem
Janaina Gomide,0.0063,Mulher
Reinaldo B. Braga,0.0063,Homem
Elisa Rocha,0.0063,Mulher
Fábio Botler,0.0059,Homem
Carlos R. Beleti Junior,0.0059,Homem
Carina Oliveira,0.0059,Mulher
Leonardo Rocha,0.0059,Homem
Vinicius F. Santos,0.0059,Homem
Julia Godinho,0.0059,Mulher
Silvia Amelia Bim,0.0055,Mulher
Gabriel SantClair,0.0055,Homem
Larissa Pessoa,0.0055,Mulher
Everton Cavalcante,0.0055,Homem
Augusto Neto,0.0055,Homem
Rebeca de Jesus Brandão,0.0055,Mulher
Emanuel Coutinho,0.0055,Homem
Renata Reiser,0.0052,Mulher
Cristiano A. da Costa,0.0052,Homem
Carla Cavalcante Koike,0.0052,Mulher
João Lopes,0.0052,Homem
Carlos A. Silva,0.0052,Homem
Tanara Lauschner,0.0052,Mulher
Anna Beatriz Marques,0.0052,Mulher
Aleteia P. F. Araujo,0.0052,Mulher
Ana Marilza Pernas,0.0048,Mulher
Lilian Giselly Pereira Santos,0.0048,Mulher
Valeria Nunes Belmonte,0.0048,Mulher
Francisco Campos,0.0048,Homem
Kalinka Castelo Branco,0.0048,Mulher
Luciana Foss,0.0048,Mulher
Tabatta Martins,0.0048,Mulher
Flávia Villela,0.0048,Mulher
Júlia Marotti,0.0048,Mulher
Milena Estanislau,0.0048,Mulher
Beatriz Becker,0.0048,Mulher
Camila Laricchia,0.0048,Mulher
Laura Emmanuella de Oliveira,0.0048,Mulher
Francisco A. Silva,0.0048,Homem
Denise Siloto,0.0048,Mulher
Letícia Gindri,0.0048,Mulher
Maria Eduarda Alves Barbosa,0.0044,Mulher
Giovanna Mara Paes Franco,0.0044,Mulher
Marcia Ferreira Cristaldo,0.0044,Mulher
Christiane G. von Wangenheim,0.0044,Mulher
Eliana Almeida,0.0044,Mulher
Josilene A. Moreira,0.0044,Mulher
Alana Araujo,0.0044,Mulher
Juliana M. Oliveira dos Santos,0.0044,Mulher
Marta Luzzi,0.0044,Mulher
Giorgia Mattos,0.0044,Mulher
Rodrigo Pereira dos Santos,0.0044,Homem
Diane Rosa da Silva,0.0044,Mulher
Nayara Arruda Cunha,0.0044,Mulher
Alice Barbosa do Couto,0.0044,Mulher
Amanda Raynara Quintana Theodoro,0.0044,Mulher
Clara Scatena da Silva,0.0044,Mulher
Claudia Santos Fernandes,0.0044,Mulher
Ariadne Nicoly Mori de Paula,0.0044,Mulher
Bianca Fernandes Ribas,0.0044,Mulher
Luana Arfux de Castro Nogueira,0.0044,Mulher
Bianca P. Castro,0.0044,Mulher
Carla Koike,0.0044,Mulher
Aleteia Araujo,0.0044,Mulher
Denise Goya,0.0044,Mulher
Simara Rocha,0.0044,Mulher
Nathasha Pinto,0.0044,Mulher
Maria Victoria S. Fiori,0.0044,Mulher
Kennedy Nunes,0.0044,Homem
Amanda Meincke Melo,0.0044,Mulher
Hugo Santos,0.0044,Homem
Andre L. L. Aquino,0.0044,Homem
Gabriel Costa,0.0044,Homem
Silvia A. Bim,0.0044,Mulher
Felipe Silva,0.0041,Homem
Fernanda Pires,0.0041,Mulher
Brenno Nascimento,0.0041,Homem
Vanessa Dantas,0.0041,Mulher
Edson OliveiraJr,0.0041,Homem
Roger Machado,0.0041,Homem
Ana Pernas,0.0041,Mulher
Kalinka Branco,0.0041,Mulher
Vinicius R. P. Borges,0.0041,Homem
Thelma E. Colanzi,0.0041,Mulher
Carla Rodriguez,0.0041,Mulher
Thais R. M. B. Silva,0.0041,Mulher
Alex B. Vieira,0.0041,Homem
João Gabriel R. Silva,0.0041,Homem
Alice Lima,0.0041,Mulher
Adenauer Correa Yamin,0.0041,Homem
Thalia S. Santana,0.0041,Mulher
Lucas Silva,0.0041,Homem
Carla Ilane Moreira Bezerra,0.0041,Mulher
Flávio K. Miyazawa,0.0041,Homem
Claudia Motta,0.0041,Mulher
Luciana Bolan Frigo,0.0041,Mulher
Taciana Pontual Falcão,0.0037,Mulher
Kamila Almeida Benevides,0.0037,Mulher
Kelly Bianca Araujo Silva,0.0037,Mulher
Bruna Mariana F. de Souza,0.0037,Mulher
Fabíola Pantoja O. Araújo,0.0037,Mulher
Cleidson Souza,0.0037,Homem
Aluizio Rocha Neto,0.0037,Homem
Gerson Cavalheiro,0.0037,Homem
Beatriz Chicaroni,0.0037,Mulher
Camila Sass,0.0037,Mulher
Carlos Portela,0.0037,Homem
Alice Borges,0.0037,Mulher
Maria Eduarda Brandão,0.0037,Mulher
Ermeson Andrade,0.0037,Homem
Marina da S. Rocha,0.0037,Mulher
Luana Júlia Nunes Ferreira,0.0037,Mulher
Natália de Assis Sousa,0.0037,Mulher
Rosimeire Santana,0.0037,Mulher
Melissa Lins,0.0037,Mulher
Rafaela V. Rocha,0.0037,Mulher
Poliana Ferreira,0.0037,Mulher
Thaíse Costa,0.0037,Mulher
Ester de Lima Pontes Andrade,0.0037,Mulher
Matheus D. de Oliveira,0.0037,Homem
João Pinheiro,0.0037,Homem
Lidia Ferreira,0.0037,Mulher
Lucas Santos,0.0037,Homem
Daniela Eloise Flôr,0.0037,Mulher
Eduardo Henrique Molina da Cruz,0.0037,Homem
Felipe Rocha,0.0037,Homem
Adriano Braga,0.0037,Homem
Lara Tenore,0.0037,Mulher
Aleteia Patrícia F. de Araújo,0.0037,Mulher
Stefany Pinheiro,0.0037,Mulher
Andréia Antloga,0.0033,Mulher
Andre Aquino,0.0033,Homem
Filipe C. Fernandes,0.0033,Homem
André Barreto,0.0033,Homem
Alan Fernandes,0.0033,Homem
Felipe Assis,0.0033,Homem
Jacilane de H. Rabelo,0.0033,Mulher
Wladimir Araújo Tavares,0.0033,Homem
Johnny Marques,0.0033,Homem
Ana Luísa S. Milson,0.0033,Mulher
Thamires P. Silva,0.0033,Mulher
Tais A. Oliveira,0.0033,Mulher
Luísa M. Laboissiere,0.0033,Mulher
Felipe Araújo,0.0033,Homem
Antonio A. F. Loureiro,0.0033,Homem
Ubiratan Bezerra,0.0033,Homem
Maria Tostes,0.0033,Mulher
Marcella D. Ferreira,0.0033,Mulher
Jean Moraes,0.0033,Homem
Karin Komati,0.0033,Mulher
Lauana M. C. de Oliveira,0.0033,Mulher
Andrea Charão,0.0033,Mulher
Michele A. Brandão,0.0033,Mulher
Aline Vieira de Mello,0.0033,Mulher
Ana Sofia S. Silvestre,0.0033,Mulher
Ayslan Trevizan Possebom,0.0033,Homem
Simone R. S. Souza,0.0033,Mulher
Ana Júlia L. Briceño,0.0033,Mulher
Sandra Oliveira,0.0033,Homem
Natália C. Louzada,0.0033,Mulher
Ramayane B. Braga,0.0033,Mulher
Bruno Mota,0.0033,Homem
Márcia Gonçalves Oliveira,0.0033,Mulher
Renata Hax Sander Reiser,0.0033,Mulher
Alexandre Cezar,0.0033,Homem
Rafael C. S. Schoeury,0.0033,Homem
Flavia C. Delicato,0.003,Mulher
Windson Viana,0.003,Homem
Gláucia Braga e Silva,0.003,Mulher
Ana Flávia C. Moura,0.003,Mulher
Andre Du Bois,0.003,Homem
Marcelino S. da Silva,0.003,Homem
Andréa Sabedra Bordin,0.003,Mulher
Ueverton Souza,0.003,Homem
Diana Sasaki,0.003,Mulher
Ana Silva,0.003,Mulher
Diego Hoss,0.003,Homem
Rafael Ferreira Mello,0.003,Homem
Clara Marques Bodart,0.003,Mulher
Isabela Gasparini,0.003,Mulher
Celina M. H. de Figueiredo,0.003,Mulher
Eduardo Grampín,0.003,Homem
Joel J. P. C. Rodrigues,0.003,Homem
Erika Rosas,0.003,Mulher
Rafael Santos,0.003,Homem
Gil Andrade,0.003,Homem
Rafael F. Vieira,0.003,Homem
Antônio Pereira,0.003,Homem
Rodrigo R. Righi,0.003,Homem
Ana Rita Mazzini,0.003,Mulher
Indra Matsiendra C. D. Ribeiro,0.003,Mulher
Igor W. A. Falcão,0.003,Homem
Guilherme Mota,0.003,Homem
Antônio Alberti,0.003,Homem
Rodrigo S. Miani,0.003,Homem
Nicolás Hidalgo,0.003,Homem
Paulo R. Coelho,0.003,Homem
Martín Gutiérrez,0.003,Homem
Javier Baliosian,0.003,Homem
Rafael Pasquini,0.003,Homem
Márcia Oliveira,0.003,Mulher
Clevi Rapkiewicz,0.003,Mulher
Paulo H. A. Pereira,0.003,Homem
Izabela A. Andrade,0.003,Mulher
Simone Cavalheiro,0.003,Mulher
Iure Fé,0.003,Homem
José Robertty de Freitas Costa,0.003,Homem
Orlando Lee,0.003,Homem
Allysson Allex Araújo,0.003,Homem
Ecivaldo de Souza Matos,0.003,Homem
Ana Carolina Nesso Guedes,0.003,Mulher
Clause Piana,0.003,Mulher
Marcela Pessoa,0.003,Mulher
Sara L. de Farias,0.003,Mulher
Cláudio Geyer,0.003,Homem
André G. Pereira,0.003,Mulher
Laécio Rodrigues,0.003,Homem
Diego L. Cardoso,0.003,Homem
Julia M. M. Gonçalves,0.003,Mulher
Daniel H. Dalip,0.003,Homem
Letícia S. Camargo,0.0026,Mulher
Patrícia Araújo de Oliveira,0.0026,Mulher
Taís Pinheiro Borges Silva,0.0026,Mulher
Tayana Nery Franca,0.0026,Mulher
Nayana Borges das Mercês,0.0026,Mulher
Fabiola Guerra Nakamura,0.0026,Mulher
Jeovana Leão,0.0026,Mulher
Mariana Barros,0.0026,Mulher
Kalil Ferreira,0.0026,Homem
Julis Figueira de Araújo,0.0026,Homem
Gabriel Alves,0.0026,Homem
Vanessa Michalsky Barbosa,0.0026,Mulher
Gustavo Bittencourt Machado,0.0026,Homem
Izabela Lorena Azevedo,0.0026,Mulher
Pedro H. O. Souza,0.0026,Homem
Letícia C. T. Nascimento,0.0026,Mulher
Isabele B. Prates,0.0026,Mulher
Gabriel C. Carrara,0.0026,Homem
César Alberto da Silva,0.0026,Homem
Marcelo Y. Shigenaga,0.0026,Homem
João Choma Neto,0.0026,Homem
Carla Santos de Oliveira,0.0026,Mulher
Leandro M. Zatesko,0.0026,Homem
Eduardo Nogueira,0.0026,Homem
Rita C. G. Berardi,0.0026,Mulher
Matheus Bessa,0.0026,Homem
Mário César San Felice,0.0026,Homem
Milene Selbach Silveira,0.0026,Mulher
Paulo A. L. Rego,0.0026,Homem
Alessandra Martins Coelho,0.0026,Mulher
