Autor,Comunidade_ID,Gênero
Anderson Lemos,0,Homem
Lucas F. Silva,12,Homem
Gil Andrade,2,Homem
Lana Gomes,2,Mulher
Sergio Cleger,3,Homem
Moysés S. Sampaio Jr.,4,Homem
Fernanda Pires,3,Mulher
Juan P. A. Lopes,4,Homem
Eduardo Souto,5,Homem
Alex Gliesch,6,Homem
Julio Araujo,0,Homem
Suellen Barros Ramos,3,Mulher
Javier Marenco,7,Homem
Rodrigo Lamblet Mafort,8,Homem
Uéverton S. Santos,8,Homem
Arthur Felipe Herdt Schuelter,9,Homem
João Bernado,3,Homem
Géssica M. da S. Alves,10,Mulher
João V. F. Lima,12,Homem
Fabian de Oliveira Lopes,7,Homem
Gabriela Hecksher,11,Mulher
Darlan Eziquiel Felisberto da Silva,12,Homem
Rayane Vitorassi,3,Mulher
Jonatas Nascimento,2,Homem
Marcus Ritt,6,Homem
João Marcos Cavalcanti,3,Homem
Davi de Andrade,0,Homem
Mariana Barros,5,Mulher
Ligia Cristina Battezzati,1,Mulher
Isabela Gasparini,9,Mulher
João Reis,5,Homem
Rafaela Oliveira Padilha,3,Mulher
Gleison Souza Diniz Mendonça,0,Homem
Anderson Daniel Stochero,6,Homem
Ana Santos,5,Mulher
Rebeca de Q. Dantas,10,Mulher
Alexandre Cezar,0,Homem
José Wilson C. Pinto,4,Homem
Ariel Bentes,7,Homem
Bruno Gadelha,7,Homem
Rebeca Schroeder,9,Mulher
Flavia Bonomo,4,Mulher
Patrícia Abe Turato,1,Mulher
Sabrina B. Sassi,3,Mulher
Elaine Oliveira,5,Mulher
João V. S. Leite,8,Homem
Victória Guimarães,7,Mulher
Lorrana F. de Castro,8,Mulher
Mateus Santos,1,Homem
Juan Colonna,5,Homem
Camille Braga,11,Mulher
Silvia Amelia Bim,1,Mulher
Gisela Cesario,1,Mulher
Isabelly Oliveira,7,Mulher
Karla Susiane Pereira,7,Mulher
Yuri Silva de Oliveira,0,Homem
Jose Neto,12,Homem
Suzany Angeli,9,Mulher
Paulo Eustáquio D. Pinto,4,Homem
