Autor1,Gênero_Autor1,Autor2,Gênero_Autor2,Evento
Acacia Terra,Mulher,Edimar Roque Martello Junior,Homem,SEMISH
Acacia Terra,Mulher,Ricardo Parizotto,Homem,SEMISH
Braulio Mello,Homem,Edimar Roque Martello Junior,Homem,SEMISH
Braulio Mello,Homem,Ricardo Parizotto,Homem,SEMISH
Edimar Roque Martello Junior,Homem,Ricardo Parizotto,Homem,SEMISH
Christian Reis Fagundes Gomes,Homem,Felipe Augusto Resende Viegas,Homem,CTIC
Christian Reis Fagundes Gomes,Homem,Leonardo Chaves Dutra da Rocha,Homem,CTIC
Christian Reis Fagundes Gomes,Homem,Washington Luiz Miranda da Cunha,Homem,CTIC
Felipe Augusto Resende Viegas,Homem,Leonardo Chaves Dutra da Rocha,Homem,CTIC
Felipe Augusto Resende Viegas,Homem,Washington Luiz Miranda da Cunha,Homem,CTIC
Leonardo Chaves Dutra da Rocha,Homem,Washington Luiz Miranda da Cunha,Homem,CTIC
Carina T. de Oliveira,Mulher,Daniel Victor Saraiva,Homem,WEI
Carina T. de Oliveira,Mulher,Reinaldo B. Braga,Homem,WEI
Carina T. de Oliveira,Mulher,Silas S. L. Pereira,Homem,WEI
Daniel Victor Saraiva,Homem,Reinaldo B. Braga,Homem,WEI
Daniel Victor Saraiva,Homem,Silas S. L. Pereira,Homem,WEI
Reinaldo B. Braga,Homem,Silas S. L. Pereira,Homem,WEI
Bruno N. M. S. Conte,Homem,Roberto C. L. de Oliveira,Homem,SEMISH
Bruno N. M. S. Conte,Homem,Thiago N.M. S. Conte,Homem,SEMISH
Roberto C. L. de Oliveira,Homem,Thiago N.M. S. Conte,Homem,SEMISH
Javier Guillot Jiménez,Homem,Luiz André P. Paes Leme,Homem,SEMISH
Javier Guillot Jiménez,Homem,Marco A. Casanova,Homem,SEMISH
Luiz André P. Paes Leme,Homem,Marco A. Casanova,Homem,SEMISH
Ayla Rebouças,Mulher,Géssica Alves,Mulher,WEI
Edvar Afonso L. Filho,Homem,Miguel Elias M. Campista,Homem,WPerformance
Débora Guerra de S. Guinati,Mulher,Renata Luiza da Costa,Mulher,WIT
Débora Guerra de S. Guinati,Mulher,Stéfany de Castro Souza,Mulher,WIT
Renata Luiza da Costa,Mulher,Stéfany de Castro Souza,Mulher,WIT
Antônio Alberti,Homem,Cristiano A. da Costa,Homem,SBCUP
Antônio Alberti,Homem,Emiliano S. Monteiro,Homem,SBCUP
Antônio Alberti,Homem,Maria Eloisa Mignoni,Mulher,SBCUP
Antônio Alberti,Homem,Rafael Kunst,Homem,SBCUP
Antônio Alberti,Homem,Rodrigo R. Righi,Homem,SBCUP
Cristiano A. da Costa,Homem,Emiliano S. Monteiro,Homem,SBCUP
Cristiano A. da Costa,Homem,Maria Eloisa Mignoni,Mulher,SBCUP
Cristiano A. da Costa,Homem,Rafael Kunst,Homem,SBCUP
Cristiano A. da Costa,Homem,Rodrigo R. Righi,Homem,SBCUP
Emiliano S. Monteiro,Homem,Maria Eloisa Mignoni,Mulher,SBCUP
Emiliano S. Monteiro,Homem,Rafael Kunst,Homem,SBCUP
Emiliano S. Monteiro,Homem,Rodrigo R. Righi,Homem,SBCUP
Maria Eloisa Mignoni,Mulher,Rafael Kunst,Homem,SBCUP
Maria Eloisa Mignoni,Mulher,Rodrigo R. Righi,Homem,SBCUP
Rafael Kunst,Homem,Rodrigo R. Righi,Homem,SBCUP
Denis Rosário,Homem,Eduardo Cerqueira,Homem,SBCUP
Denis Rosário,Homem,Gilmar Moraes,Homem,SBCUP
Denis Rosário,Homem,Helder Oliveira,Homem,SBCUP
Eduardo Cerqueira,Homem,Gilmar Moraes,Homem,SBCUP
Eduardo Cerqueira,Homem,Helder Oliveira,Homem,SBCUP
Gilmar Moraes,Homem,Helder Oliveira,Homem,SBCUP
Bruno O. Goulart,Homem,Carolina Xavier,Mulher,ENCompIF
Bruno O. Goulart,Homem,João Gabriel R. Silva,Homem,ENCompIF
Bruno O. Goulart,Homem,Maria Júlia M. Schettini,Mulher,ENCompIF
Bruno O. Goulart,Homem,Samuel O. Silva,Homem,ENCompIF
Carolina Xavier,Mulher,João Gabriel R. Silva,Homem,ENCompIF
Carolina Xavier,Mulher,Maria Júlia M. Schettini,Mulher,ENCompIF
Carolina Xavier,Mulher,Samuel O. Silva,Homem,ENCompIF
João Gabriel R. Silva,Homem,Maria Júlia M. Schettini,Mulher,ENCompIF
João Gabriel R. Silva,Homem,Samuel O. Silva,Homem,ENCompIF
Maria Júlia M. Schettini,Mulher,Samuel O. Silva,Homem,ENCompIF
Cleyton Souza,Homem,Elaine Santos,Mulher,WEI
Cleyton Souza,Homem,Tamires Rocha,Mulher,WEI
Cleyton Souza,Homem,Vilson Júnior,Homem,WEI
Elaine Santos,Mulher,Tamires Rocha,Mulher,WEI
Elaine Santos,Mulher,Vilson Júnior,Homem,WEI
Tamires Rocha,Mulher,Vilson Júnior,Homem,WEI
Geber Lisboa Ramalho,Homem,Rodrigo Pessoa Medeiros,Homem,WEI
Geber Lisboa Ramalho,Homem,Taciana Pontual Falcão,Mulher,WEI
Rodrigo Pessoa Medeiros,Homem,Taciana Pontual Falcão,Mulher,WEI
Bruno de Carvalho Albertini,Homem,Vivian Kimie Isuyama,Mulher,WPerformance
Karin Komati,Mulher,Rosana Jesus,Mulher,ENCompIF
Karin Komati,Mulher,Sérgio Nery Simões,Homem,ENCompIF
Rosana Jesus,Mulher,Sérgio Nery Simões,Homem,ENCompIF
Jefferson Andrade,Homem,Jonathan R. da Silva,Homem,ENCompIF
Jefferson Andrade,Homem,Karin S. Komati,Mulher,ENCompIF
Jefferson Andrade,Homem,Leandro C. Resendo,Homem,ENCompIF
Jonathan R. da Silva,Homem,Karin S. Komati,Mulher,ENCompIF
Jonathan R. da Silva,Homem,Leandro C. Resendo,Homem,ENCompIF
Karin S. Komati,Mulher,Leandro C. Resendo,Homem,ENCompIF
Ana Paula Lüdtke Ferreira,Mulher,Márcia Maria Lucchese,Mulher,WIT
Arthur F. Ramos,Homem,Ruy J. G. B. de Queiroz,Homem,ETC
Cristiane Jorge L. Bonfim,Mulher,Luisa S. Ferreira,Mulher,ENCompIF
Cristiane Jorge L. Bonfim,Mulher,Sylvana Karla S. L. Santos,Mulher,ENCompIF
Luisa S. Ferreira,Mulher,Sylvana Karla S. L. Santos,Mulher,ENCompIF
Aline Silva De Bona,Mulher,Natália Bernardo Nunes,Mulher,ENCompIF
Adão Caron Cambraia,Homem,Lucas Tadeu Hinterholz,Homem,WEI
Adão Caron Cambraia,Homem,Wilk Oliveira,Homem,WEI
Lucas Tadeu Hinterholz,Homem,Wilk Oliveira,Homem,WEI
Bianca Santana,Mulher,Luis Araújo,Homem,WEI
Bianca Santana,Mulher,Roberto Bittencourt,Homem,WEI
Luis Araújo,Homem,Roberto Bittencourt,Homem,WEI
Emmerson S. Rita,Homem,Jucimar B. Souza,Homem,ENCompIF
Emmerson S. Rita,Homem,Marcelo C. Machado,Homem,ENCompIF
Emmerson S. Rita,Homem,Pedro Pequeno,Homem,ENCompIF
Jucimar B. Souza,Homem,Marcelo C. Machado,Homem,ENCompIF
Jucimar B. Souza,Homem,Pedro Pequeno,Homem,ENCompIF
Marcelo C. Machado,Homem,Pedro Pequeno,Homem,ENCompIF
Cristiana Bentes,Mulher,Lúcia Maria de A. Drummond,Mulher,CTD
Cristiana Bentes,Mulher,Pablo Carvalho,Homem,CTD
Lúcia Maria de A. Drummond,Mulher,Pablo Carvalho,Homem,CTD
Bruno P. Masquio,Homem,Jayme L. Szwarcfiter,Homem,ETC
Bruno P. Masquio,Homem,Paulo E. D. Pinto,Homem,ETC
Jayme L. Szwarcfiter,Homem,Paulo E. D. Pinto,Homem,ETC
Deógenes Silva Junior,Homem,Roberto Pereira,Homem,WASHES
Antônio Alberti,Homem,Karine Costa,Mulher,SBCUP
Antônio Alberti,Homem,Tibério Rezende,Homem,SBCUP
Antônio Alberti,Homem,Victor D'Ávila,Homem,SBCUP
Karine Costa,Mulher,Tibério Rezende,Homem,SBCUP
Karine Costa,Mulher,Victor D'Ávila,Homem,SBCUP
Tibério Rezende,Homem,Victor D'Ávila,Homem,SBCUP
Romulo Oliveira,Homem,Vitor Ponciano,Homem,ETC
Larissa F. S. Britto,Mulher,Luciano D. S. Pacífico,Homem,SEMISH
Larissa F. S. Britto,Mulher,Teresa B. Ludermir,Mulher,SEMISH
Luciano D. S. Pacífico,Homem,Teresa B. Ludermir,Mulher,SEMISH
Fernanda Pires,Mulher,Luiz Alencar,Homem,WEI
Fernanda Pires,Mulher,Marcela Pessoa,Mulher,WEI
Luiz Alencar,Homem,Marcela Pessoa,Mulher,WEI
Ligia Cristina Battezzati,Mulher,Mateus Santos,Homem,WIT
Ligia Cristina Battezzati,Mulher,Matheus Mattos de Almeida Cruz,Homem,WIT
Ligia Cristina Battezzati,Mulher,Rita C. G. Berardi,Mulher,WIT
Ligia Cristina Battezzati,Mulher,Sílvia Amélia Bim,Mulher,WIT
Mateus Santos,Homem,Matheus Mattos de Almeida Cruz,Homem,WIT
Mateus Santos,Homem,Rita C. G. Berardi,Mulher,WIT
Mateus Santos,Homem,Sílvia Amélia Bim,Mulher,WIT
Matheus Mattos de Almeida Cruz,Homem,Rita C. G. Berardi,Mulher,WIT
Matheus Mattos de Almeida Cruz,Homem,Sílvia Amélia Bim,Mulher,WIT
Rita C. G. Berardi,Mulher,Sílvia Amélia Bim,Mulher,WIT
Alexandre Rocha,Homem,Denis Rosário,Homem,SBCUP
Alexandre Rocha,Homem,Francisco da Ponte,Homem,SBCUP
Alexandre Rocha,Homem,Gabriel Galdino,Homem,SBCUP
Alexandre Rocha,Homem,Joaquim Celestino Jr,Homem,SBCUP
Alexandre Rocha,Homem,Rafael Gomes,Homem,SBCUP
Denis Rosário,Homem,Francisco da Ponte,Homem,SBCUP
Denis Rosário,Homem,Gabriel Galdino,Homem,SBCUP
Denis Rosário,Homem,Joaquim Celestino Jr,Homem,SBCUP
Denis Rosário,Homem,Rafael Gomes,Homem,SBCUP
Francisco da Ponte,Homem,Gabriel Galdino,Homem,SBCUP
Francisco da Ponte,Homem,Joaquim Celestino Jr,Homem,SBCUP
Francisco da Ponte,Homem,Rafael Gomes,Homem,SBCUP
Gabriel Galdino,Homem,Joaquim Celestino Jr,Homem,SBCUP
Gabriel Galdino,Homem,Rafael Gomes,Homem,SBCUP
Joaquim Celestino Jr,Homem,Rafael Gomes,Homem,SBCUP
Greice P. Dal Molin,Mulher,Nina N. Zahn,Mulher,SEMISH
Greice P. Dal Molin,Mulher,Soraia R. Musse,Mulher,SEMISH
Nina N. Zahn,Mulher,Soraia R. Musse,Mulher,SEMISH
Dorgival da Silva Pereira Netto,Homem,Francesco Pagani Galvão,Homem,ENCompIF
Dorgival da Silva Pereira Netto,Homem,Luiz Felipe de Souza Jimenez,Homem,ENCompIF
Dorgival da Silva Pereira Netto,Homem,Renan Augusto Monteiro Duarte,Homem,ENCompIF
Francesco Pagani Galvão,Homem,Luiz Felipe de Souza Jimenez,Homem,ENCompIF
Francesco Pagani Galvão,Homem,Renan Augusto Monteiro Duarte,Homem,ENCompIF
Luiz Felipe de Souza Jimenez,Homem,Renan Augusto Monteiro Duarte,Homem,ENCompIF
Eduardo P. M. Câmara Júnior,Homem,Luiz F. M. Vieira,Homem,CTD
Eduardo P. M. Câmara Júnior,Homem,Marcos A. M. Vieira,Homem,CTD
Luiz F. M. Vieira,Homem,Marcos A. M. Vieira,Homem,CTD
Andre Aquino,Homem,Israel Vasconcelos,Homem,CTIC
Daniel L. Ferrão,Homem,Heider Marconi G. Madureira,Homem,SEMISH
Daniel L. Ferrão,Homem,Marcos B. Hervé,Homem,SEMISH
Daniel L. Ferrão,Homem,Murilo P. Pessatti,Homem,SEMISH
Daniel L. Ferrão,Homem,Paulo A. Dal Fabbro,Homem,SEMISH
Heider Marconi G. Madureira,Homem,Marcos B. Hervé,Homem,SEMISH
Heider Marconi G. Madureira,Homem,Murilo P. Pessatti,Homem,SEMISH
Heider Marconi G. Madureira,Homem,Paulo A. Dal Fabbro,Homem,SEMISH
Marcos B. Hervé,Homem,Murilo P. Pessatti,Homem,SEMISH
Marcos B. Hervé,Homem,Paulo A. Dal Fabbro,Homem,SEMISH
Murilo P. Pessatti,Homem,Paulo A. Dal Fabbro,Homem,SEMISH
Carolinne Roque e Faria,Mulher,Maurilio Martins Campano Júnior,Homem,SEMISH
Arthur Artoni,Homem,Bruno Oliveira,Homem,SEMISH
Fábio Botler,Homem,Luiz Hoffmann,Homem,ETC
Ariana R. Cursino,Mulher,Juliana F. P. Martinez,Mulher,WIT
Claiton Correa,Homem,Daila Rita Becker Nunes,Mulher,ENCompIF
Claiton Correa,Homem,Luciéli Tolfo Beque Guerra,Mulher,ENCompIF
Daila Rita Becker Nunes,Mulher,Luciéli Tolfo Beque Guerra,Mulher,ENCompIF
Anna Beatriz Marques,Mulher,Lauana Maria C. de Oliveira,Mulher,WIT
Geovanna Evelyn Taype Espinoza,Mulher,Maria Cecilia Calani Baranauskas,Mulher,SEMISH
Aline Sousa,Mulher,Natasha Valentim,Mulher,WASHES
Adrisson Rodrigues,Homem,João Marcos Cavalcanti,Homem,SEMISH
Adrisson Rodrigues,Homem,Marcela Pessoa,Mulher,SEMISH
Adrisson Rodrigues,Homem,Robson Melo,Homem,SEMISH
Adrisson Rodrigues,Homem,Sergio Cleger,Homem,SEMISH
João Marcos Cavalcanti,Homem,Marcela Pessoa,Mulher,SEMISH
João Marcos Cavalcanti,Homem,Robson Melo,Homem,SEMISH
João Marcos Cavalcanti,Homem,Sergio Cleger,Homem,SEMISH
Marcela Pessoa,Mulher,Robson Melo,Homem,SEMISH
Marcela Pessoa,Mulher,Sergio Cleger,Homem,SEMISH
Robson Melo,Homem,Sergio Cleger,Homem,SEMISH
Fernanda Pires,Mulher,Karolayne Teixeira,Mulher,WEI
Fernanda Pires,Mulher,Marcela Pessoa,Mulher,WEI
Karolayne Teixeira,Mulher,Marcela Pessoa,Mulher,WEI
Herik S. Lorenção,Homem,Rafael V. M. Santos,Homem,ENCompIF
Amanda Lisboa Pereira,Mulher,Luis F. Pozas,Homem,ENCompIF
Erick T. A. Silva,Homem,Melise M. V. Paula,Mulher,SEMISH
Erick T. A. Silva,Homem,Rafael M. D.,Homem,SEMISH
Erick T. A. Silva,Homem,Vanessa C. O. Souza,Mulher,SEMISH
Melise M. V. Paula,Mulher,Rafael M. D.,Homem,SEMISH
Melise M. V. Paula,Mulher,Vanessa C. O. Souza,Mulher,SEMISH
Rafael M. D.,Homem,Vanessa C. O. Souza,Mulher,SEMISH
André Ferraz,Homem,Carlos Ferraz,Homem,SEMISH
Helio Pedrini,Homem,Marcos Roberto e Souza,Homem,CTD
André Peres,Homem,Fernanda Nunes Deitos,Mulher,ENCompIF
André Peres,Homem,Fábio Yoshimitsu Okuyama,Homem,ENCompIF
André Peres,Homem,Lilian Stavizki,Mulher,ENCompIF
André Peres,Homem,Marcelo Augusto Rauh Schimitt,Homem,ENCompIF
André Peres,Homem,Marlon Carvalho Mariano,Homem,ENCompIF
André Peres,Homem,Márcia Häfele Islabão Franco,Mulher,ENCompIF
André Peres,Homem,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Fernanda Nunes Deitos,Mulher,Fábio Yoshimitsu Okuyama,Homem,ENCompIF
Fernanda Nunes Deitos,Mulher,Lilian Stavizki,Mulher,ENCompIF
Fernanda Nunes Deitos,Mulher,Marcelo Augusto Rauh Schimitt,Homem,ENCompIF
Fernanda Nunes Deitos,Mulher,Marlon Carvalho Mariano,Homem,ENCompIF
Fernanda Nunes Deitos,Mulher,Márcia Häfele Islabão Franco,Mulher,ENCompIF
Fernanda Nunes Deitos,Mulher,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Fábio Yoshimitsu Okuyama,Homem,Lilian Stavizki,Mulher,ENCompIF
Fábio Yoshimitsu Okuyama,Homem,Marcelo Augusto Rauh Schimitt,Homem,ENCompIF
Fábio Yoshimitsu Okuyama,Homem,Marlon Carvalho Mariano,Homem,ENCompIF
Fábio Yoshimitsu Okuyama,Homem,Márcia Häfele Islabão Franco,Mulher,ENCompIF
Fábio Yoshimitsu Okuyama,Homem,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Lilian Stavizki,Mulher,Marcelo Augusto Rauh Schimitt,Homem,ENCompIF
Lilian Stavizki,Mulher,Marlon Carvalho Mariano,Homem,ENCompIF
Lilian Stavizki,Mulher,Márcia Häfele Islabão Franco,Mulher,ENCompIF
Lilian Stavizki,Mulher,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Marcelo Augusto Rauh Schimitt,Homem,Marlon Carvalho Mariano,Homem,ENCompIF
Marcelo Augusto Rauh Schimitt,Homem,Márcia Häfele Islabão Franco,Mulher,ENCompIF
Marcelo Augusto Rauh Schimitt,Homem,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Marlon Carvalho Mariano,Homem,Márcia Häfele Islabão Franco,Mulher,ENCompIF
Marlon Carvalho Mariano,Homem,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Márcia Häfele Islabão Franco,Mulher,Silvia de Castro Bertagnolli,Mulher,ENCompIF
Airton Zancanaro,Homem,Carla Grossl,Mulher,ENCompIF
Airton Zancanaro,Homem,Déborah Kosak Klagenberg,Mulher,ENCompIF
Airton Zancanaro,Homem,Kemely Kedny Pezzini,Mulher,ENCompIF
Airton Zancanaro,Homem,Letícia Hümmelgen,Mulher,ENCompIF
Airton Zancanaro,Homem,Nágila Cristina Hinckel,Mulher,ENCompIF
Airton Zancanaro,Homem,Thainá Schroeder Ribeiro,Mulher,ENCompIF
Carla Grossl,Mulher,Déborah Kosak Klagenberg,Mulher,ENCompIF
Carla Grossl,Mulher,Kemely Kedny Pezzini,Mulher,ENCompIF
Carla Grossl,Mulher,Letícia Hümmelgen,Mulher,ENCompIF
Carla Grossl,Mulher,Nágila Cristina Hinckel,Mulher,ENCompIF
Carla Grossl,Mulher,Thainá Schroeder Ribeiro,Mulher,ENCompIF
Déborah Kosak Klagenberg,Mulher,Kemely Kedny Pezzini,Mulher,ENCompIF
Déborah Kosak Klagenberg,Mulher,Letícia Hümmelgen,Mulher,ENCompIF
Déborah Kosak Klagenberg,Mulher,Nágila Cristina Hinckel,Mulher,ENCompIF
Déborah Kosak Klagenberg,Mulher,Thainá Schroeder Ribeiro,Mulher,ENCompIF
Kemely Kedny Pezzini,Mulher,Letícia Hümmelgen,Mulher,ENCompIF
Kemely Kedny Pezzini,Mulher,Nágila Cristina Hinckel,Mulher,ENCompIF
Kemely Kedny Pezzini,Mulher,Thainá Schroeder Ribeiro,Mulher,ENCompIF
Letícia Hümmelgen,Mulher,Nágila Cristina Hinckel,Mulher,ENCompIF
Letícia Hümmelgen,Mulher,Thainá Schroeder Ribeiro,Mulher,ENCompIF
Nágila Cristina Hinckel,Mulher,Thainá Schroeder Ribeiro,Mulher,ENCompIF
Cabral Lima,Homem,Daniel Menasch,Homem,WPerformance
Cabral Lima,Homem,Italo Cunha,Homem,WPerformance
Cabral Lima,Homem,Leandro P. de Aguiar,Homem,WPerformance
Daniel Menasch,Homem,Italo Cunha,Homem,WPerformance
Daniel Menasch,Homem,Leandro P. de Aguiar,Homem,WPerformance
Italo Cunha,Homem,Leandro P. de Aguiar,Homem,WPerformance
Renato Eubank de Almeida,Homem,Rodrigo Gabriel Galeano da Silva,Homem,ENCompIF
Bruno P. Masquio,Homem,Guilherme de C. M. Gomes,Homem,ETC
Bruno P. Masquio,Homem,Jayme L. Szwarcfiter,Homem,ETC
Bruno P. Masquio,Homem,Paulo E. D. Pinto,Homem,ETC
Bruno P. Masquio,Homem,Vinicius F. Santos,Homem,ETC
Guilherme de C. M. Gomes,Homem,Jayme L. Szwarcfiter,Homem,ETC
Guilherme de C. M. Gomes,Homem,Paulo E. D. Pinto,Homem,ETC
Guilherme de C. M. Gomes,Homem,Vinicius F. Santos,Homem,ETC
Jayme L. Szwarcfiter,Homem,Paulo E. D. Pinto,Homem,ETC
Jayme L. Szwarcfiter,Homem,Vinicius F. Santos,Homem,ETC
Paulo E. D. Pinto,Homem,Vinicius F. Santos,Homem,ETC
Eduardo Cunha de Almeida,Homem,Eduardo Henrique Monteiro Pena,Homem,CTD
Cristiano Maciel,Homem,Karen Ribeiro,Mulher,WIT
Diego P. Rubert,Homem,Fábio H. V. Martinez,Homem,CTD
Diego P. Rubert,Homem,Jens Stoye,Homem,CTD
Fábio H. V. Martinez,Homem,Jens Stoye,Homem,CTD
Ana Santos,Mulher,Elaine Oliveira,Mulher,WEI
Ana Santos,Mulher,Fabíola G. Nakamura,Mulher,WEI
Ana Santos,Mulher,Leandro Carvalho,Homem,WEI
Elaine Oliveira,Mulher,Fabíola G. Nakamura,Mulher,WEI
Elaine Oliveira,Mulher,Leandro Carvalho,Homem,WEI
Fabíola G. Nakamura,Mulher,Leandro Carvalho,Homem,WEI
Fabrício Pinto,Homem,Paulo Silva,Homem,WEI
Calebe Conceição,Homem,Carla Aquino,Mulher,ENCompIF
Calebe Conceição,Homem,Glederson Santos,Homem,ENCompIF
Calebe Conceição,Homem,Pedro Mietliki,Homem,ENCompIF
Carla Aquino,Mulher,Glederson Santos,Homem,ENCompIF
Carla Aquino,Mulher,Pedro Mietliki,Homem,ENCompIF
Glederson Santos,Homem,Pedro Mietliki,Homem,ENCompIF
Antônio Pinto,Homem,Ednara Pereira,Mulher,WEI
Antônio Pinto,Homem,Fernando Leite,Homem,WEI
Antônio Pinto,Homem,Gabriel Cardoso,Homem,WEI
Antônio Pinto,Homem,Geraldo Braz Junior,Homem,WEI
Antônio Pinto,Homem,Igor Estrela,Homem,WEI
Antônio Pinto,Homem,Luis Rivero,Homem,WEI
Ednara Pereira,Mulher,Fernando Leite,Homem,WEI
Ednara Pereira,Mulher,Gabriel Cardoso,Homem,WEI
Ednara Pereira,Mulher,Geraldo Braz Junior,Homem,WEI
Ednara Pereira,Mulher,Igor Estrela,Homem,WEI
Ednara Pereira,Mulher,Luis Rivero,Homem,WEI
Fernando Leite,Homem,Gabriel Cardoso,Homem,WEI
Fernando Leite,Homem,Geraldo Braz Junior,Homem,WEI
Fernando Leite,Homem,Igor Estrela,Homem,WEI
Fernando Leite,Homem,Luis Rivero,Homem,WEI
Gabriel Cardoso,Homem,Geraldo Braz Junior,Homem,WEI
Gabriel Cardoso,Homem,Igor Estrela,Homem,WEI
Gabriel Cardoso,Homem,Luis Rivero,Homem,WEI
Geraldo Braz Junior,Homem,Igor Estrela,Homem,WEI
Geraldo Braz Junior,Homem,Luis Rivero,Homem,WEI
Igor Estrela,Homem,Luis Rivero,Homem,WEI
Bruno Masquio,Homem,Jayme L. Szwarcfiter,Homem,ETC
Bruno Masquio,Homem,Paulo Pinto,Homem,ETC
Jayme L. Szwarcfiter,Homem,Paulo Pinto,Homem,ETC
Amanda de Oliveira Casagrande,Mulher,Caroline Reis Vieira Santos Rauta,Mulher,WIT
Amanda de Oliveira Casagrande,Mulher,Daniela Sbizera Justo,Mulher,WIT
Amanda de Oliveira Casagrande,Mulher,Rayana Prata Neves,Mulher,WIT
Caroline Reis Vieira Santos Rauta,Mulher,Daniela Sbizera Justo,Mulher,WIT
Caroline Reis Vieira Santos Rauta,Mulher,Rayana Prata Neves,Mulher,WIT
Daniela Sbizera Justo,Mulher,Rayana Prata Neves,Mulher,WIT
Denis Rosário,Homem,Eduardo Cerqueira,Homem,SBCUP
Denis Rosário,Homem,Felipe Araújo,Homem,SBCUP
Denis Rosário,Homem,Geam Pfeiff,Homem,SBCUP
Denis Rosário,Homem,Helder Oliveira,Homem,SBCUP
Eduardo Cerqueira,Homem,Felipe Araújo,Homem,SBCUP
Eduardo Cerqueira,Homem,Geam Pfeiff,Homem,SBCUP
Eduardo Cerqueira,Homem,Helder Oliveira,Homem,SBCUP
Felipe Araújo,Homem,Geam Pfeiff,Homem,SBCUP
Felipe Araújo,Homem,Helder Oliveira,Homem,SBCUP
Geam Pfeiff,Homem,Helder Oliveira,Homem,SBCUP
Benediel Gonçalves,Homem,Carlos Portela,Homem,WEI
Benediel Gonçalves,Homem,Elison Nascimento,Homem,WEI
Benediel Gonçalves,Homem,Enio Monteiro,Homem,WEI
Benediel Gonçalves,Homem,Sandra Oliveira,Homem,WEI
Carlos Portela,Homem,Elison Nascimento,Homem,WEI
Carlos Portela,Homem,Enio Monteiro,Homem,WEI
Carlos Portela,Homem,Sandra Oliveira,Homem,WEI
Elison Nascimento,Homem,Enio Monteiro,Homem,WEI
Elison Nascimento,Homem,Sandra Oliveira,Homem,WEI
Enio Monteiro,Homem,Sandra Oliveira,Homem,WEI
Emmerson Silva,Homem,Marcia Martins,Mulher,ENCompIF
Emmerson Silva,Homem,Miguel Oliveira,Homem,ENCompIF
Marcia Martins,Mulher,Miguel Oliveira,Homem,ENCompIF
Carlos Maurício Seródio Figueiredo,Homem,Luiz Carlos Silva de Araújo Filho,Homem,SBCUP
Elis Hernandes,Mulher,João Choma Neto,Homem,WEI
Elis Hernandes,Mulher,Leo Natan Paschoal,Homem,WEI
Elis Hernandes,Mulher,Simone R. S. Souza,Mulher,WEI
João Choma Neto,Homem,Leo Natan Paschoal,Homem,WEI
João Choma Neto,Homem,Simone R. S. Souza,Mulher,WEI
Leo Natan Paschoal,Homem,Simone R. S. Souza,Mulher,WEI
Ivan Machado,Homem,Joselito Mota Júnior,Homem,CTIC
Beatriz Becker,Mulher,Camila Laricchia,Mulher,WIT
Beatriz Becker,Mulher,Denise Siloto,Mulher,WIT
Beatriz Becker,Mulher,Elisa Rocha,Mulher,WIT
Beatriz Becker,Mulher,Flávia Villela,Mulher,WIT
Beatriz Becker,Mulher,Francisco Campos,Homem,WIT
Beatriz Becker,Mulher,Gabriel SantClair,Homem,WIT
Beatriz Becker,Mulher,Janaina Gomide,Mulher,WIT
Beatriz Becker,Mulher,Julia Godinho,Mulher,WIT
Beatriz Becker,Mulher,Júlia Marotti,Mulher,WIT
Beatriz Becker,Mulher,Laura Emmanuella de Oliveira,Mulher,WIT
Beatriz Becker,Mulher,Milena Estanislau,Mulher,WIT
Beatriz Becker,Mulher,Tabatta Martins,Mulher,WIT
Beatriz Becker,Mulher,Valeria Nunes Belmonte,Mulher,WIT
Camila Laricchia,Mulher,Denise Siloto,Mulher,WIT
Camila Laricchia,Mulher,Elisa Rocha,Mulher,WIT
Camila Laricchia,Mulher,Flávia Villela,Mulher,WIT
Camila Laricchia,Mulher,Francisco Campos,Homem,WIT
Camila Laricchia,Mulher,Gabriel SantClair,Homem,WIT
Camila Laricchia,Mulher,Janaina Gomide,Mulher,WIT
Camila Laricchia,Mulher,Julia Godinho,Mulher,WIT
Camila Laricchia,Mulher,Júlia Marotti,Mulher,WIT
Camila Laricchia,Mulher,Laura Emmanuella de Oliveira,Mulher,WIT
Camila Laricchia,Mulher,Milena Estanislau,Mulher,WIT
Camila Laricchia,Mulher,Tabatta Martins,Mulher,WIT
Camila Laricchia,Mulher,Valeria Nunes Belmonte,Mulher,WIT
Denise Siloto,Mulher,Elisa Rocha,Mulher,WIT
Denise Siloto,Mulher,Flávia Villela,Mulher,WIT
Denise Siloto,Mulher,Francisco Campos,Homem,WIT
Denise Siloto,Mulher,Gabriel SantClair,Homem,WIT
Denise Siloto,Mulher,Janaina Gomide,Mulher,WIT
Denise Siloto,Mulher,Julia Godinho,Mulher,WIT
Denise Siloto,Mulher,Júlia Marotti,Mulher,WIT
Denise Siloto,Mulher,Laura Emmanuella de Oliveira,Mulher,WIT
Denise Siloto,Mulher,Milena Estanislau,Mulher,WIT
Denise Siloto,Mulher,Tabatta Martins,Mulher,WIT
Denise Siloto,Mulher,Valeria Nunes Belmonte,Mulher,WIT
