Autor,Comunidade_ID,Gênero
Bruno Dias,6,Homem
Fernanda Pires,1,Mulher
Morgana Sartor,2,Mulher
João Gustavo Kienen,6,Homem
Leticia Fleig Dal Forno,3,Mulher
Jean Carlos Oliveira Santos,3,Homem
Eduardo F. Nakamura,0,Homem
Ana Valladares Zerbinato,7,Mulher
Marília A. Amaral,8,Mulher
Jamille Silva,9,Mulher
Bruna Mariana Souza,6,Mulher
Javier Marenco,6,Homem
Francielli Freitas Moro,2,Mulher
Karolayne Teixeira,1,Mulher
Suliane de Oliveira Carneiro,3,Mulher
Suzany Angeli,8,Mulher
Luciana Salgado,7,Mulher
Rosiane Freitas,6,Mulher
João V. S. Leite,5,Homem
Rafaela Oliveira Padilha,2,Mulher
Ana Luísa V. Solórzano,4,Mulher
Gabriela Hecksher,7,Mulher
Marlon L. S. Rodrigues,4,Homem
Rodrigo Lamblet Mafort,5,Homem
Leticia Santos Machado,3,Mulher
Lorrana F. de Castro,5,Mulher
Joice P. Cardoso,2,Mulher
Marcos Bedo,5,Homem
Valmir C. Barbosa,9,Homem
Matheus Mattos de Almeida Cruz,8,Homem
José Cunha,10,Homem
Maria Cláudia F. P. Emer,8,Mulher
Jayme L. Szwarcfiter,9,Homem
Karina Wiechork,4,Mulher
Elton Lever,6,Homem
Ariel Bentes,6,Homem
Nelson Maculan,6,Homem
Alberto F. Kummer Neto,4,Homem
Iago C. Corrêa,4,Homem
Karla Susiane Pereira,6,Mulher
Elaine H. T. Oliveira,6,Mulher
Karen Ribeiro,3,Mulher
Antony B. Turra,2,Homem
Luiz Alencar,1,Homem
Kayalla Pontes,7,Mulher
Gisela Cesario,8,Mulher
Marcelo O. Rosa,8,Homem
Ana Carolina Marcelino,2,Mulher
Maitê Thomazi Manenti,2,Mulher
Luiz A. Pellison,8,Homem
Claudson Bornstein,9,Homem
Tatiana M. C. Gadda,8,Mulher
David B. F. Oliveira,6,Homem
Luciana B. Frigo,2,Mulher
Géssica M. da S. Alves,10,Mulher
Carla Leitão,7,Mulher
Gabriela Coutinho,10,Mulher
Vanessa Farias Dantas,10,Mulher
Danielle Martins,9,Mulher
Wellington Lemos,10,Homem
Rodolfo A. de Oliveira,5,Homem
Ludymila Lobo,6,Mulher
Adrisson Rodrigues,1,Homem
Silvia Amelia Bim,8,Mulher
Moysés S. Sampaio Jr.,9,Homem
Larissa Pessoa,6,Mulher
Luciana S. Buriol,11,Mulher
Fabrizio Franzoia,1,Homem
Beatriz Pamela M. Nunes,10,Mulher
Lourival Neto,4,Homem
Leandro Carvalho,11,Homem
Marcus Ritt,11,Homem
Leandro S. G. Carvalho,6,Homem
Felipe Lisboa,8,Homem
Fabiano de S. Oliveira,9,Homem
Jailma da silva,10,Mulher
Julia Luiza da Conceição,6,Mulher
Waldomiro J. G. Seabra,0,Homem
Flavia Bonomo,9,Mulher
Fábio Protti,5,Homem
Beatriz Martins,10,Mulher
Paulo Eustáquio D. Pinto,9,Homem
Uéverton S. Santos,5,Homem
Victória Aires,6,Mulher
Igor Steinmacher,6,Homem
Renata V. de Figueiredo,10,Mulher
Marco Cristo,0,Homem
Nádia P. Kozievitch,8,Mulher
Anderson Daniel Stochero,11,Homem
Ana Solórzano,4,Mulher
Isabela Gasparini,8,Mulher
Brendo Cavalcante,6,Homem
Regiane Macuch,3,Mulher
Raquel S. F. Bravo,5,Mulher
Nabson Silva,0,Homem
Lucas F. Silva,4,Homem
Patrícia P. Barcelos,4,Mulher
Elaine Oliveira,11,Mulher
Jean Rangel,6,Homem
Sabrina B. Sassi,3,Mulher
Priscila Camargo,5,Mulher
Beatriz Lopes Souza,7,Mulher
Jailma J. da Silva,10,Mulher
Karla Pereira,6,Mulher
Fernando P. Barbosa,4,Homem
Thais G. Almeida,0,Mulher
Ingrid Santos,6,Mulher
Karen da Silva Figueiredo Medeiros Ribeiro,3,Mulher
Juan P. A. Lopes,9,Homem
João Bernado,6,Homem
Luiz E. Merkle,8,Homem
Alex Calado,11,Homem
Renata Figueiredo,10,Mulher
Raquel M. Souza,9,Mulher
Tanilson Santos,9,Homem
João V. F. Lima,4,Homem
Marcos Salvatierra,6,Homem
Claudia Cappelli,7,Mulher
Eliane Pozzebon,2,Mulher
Luiz C. Gomes Jr.,8,Homem
Silvia A. Bim,3,Mulher
Cassiano Schneider,4,Homem
Gabriela C. M. de Souza,10,Mulher
Loana T. Nogueira,5,Mulher
Fabiano Oliveira,9,Homem
Rebeca de Q. Dantas,10,Mulher
Juliana de Santi,8,Mulher
Tayana Conte,6,Mulher
Leandro Schneider,4,Homem
Henrique Becker,11,Homem
Bruno F. Gadelha,6,Homem
Flavia Bonomo-Braberman,9,Mulher
Suellen Barros Ramos,3,Mulher
Karina Mochetti,7,Mulher
Vinícius Carvalho Pereira,3,Homem
Rayane Vitorassi,3,Mulher
Andrea Charão,4,Mulher
Juliana Magalhães,6,Mulher
Omar Vilca,6,Homem
Sheyla Medeiros,10,Mulher
Karen da Silva Figueiredo,3,Mulher
Cassiano Andrei Dias da Silveira Schneider,4,Homem
Mariângela O. G. Setti,8,Mulher
Marcelly Homem Coelho,2,Mulher
Marcela Pessoa,1,Mulher
Juan Colonna,0,Homem
Bruna Kopplin,11,Mulher
Ueverton Souza,7,Homem
Bruno Masquio,9,Homem
Andrea Schwertner Charão,4,Mulher
Mariana Cristina Marino,8,Mulher
Douglas Lima,4,Homem
Mariana Michels Fontoura,8,Mulher
Sérgio Anders,6,Homem
Rafael G. Trindade,4,Homem
José Wilson C. Pinto,9,Homem
Paulo E. D. Pinto,9,Homem
Toni I. Wickert,11,Homem
Laís Dalle Mulle,2,Mulher
Victoria P. S. Aires,6,Mulher
Paulo Pinto,9,Homem
Mateus Santos,8,Homem
Anderson Stochero,11,Homem
João Guilherme Martinez,5,Homem
Cristiano Maciel,3,Homem
Amanda Rodrigues,10,Mulher
Monika Abkar,8,Mulher
Monique Casagranda,3,Mulher
Ana Santos,11,Mulher
Camille Braga,7,Mulher
Thaíse Costa,10,Mulher
Keiko V. O. Fonseca,8,Mulher
Augusto B. Corrêa,11,Homem
Eduardo Souto,11,Homem
Cristiane da Silva Stamberg,11,Mulher
Igor M. Coelho,9,Homem
Juliana Saraiva,10,Mulher
Jorge Goulart,9,Homem
Taynah Almeida,6,Mulher
Tanara Lauschner,6,Mulher
André G. Pereira,11,Homem
Igor Dantas,4,Homem
Rita C. G. Berardi,8,Mulher
Leander de Oliveira,8,Homem
Ricardo Souza,11,Homem
Samuel Müller Forrati,11,Homem
Rodolfo Oliveira,7,Homem
Vitor Tocci Ferreira de Luca,9,Homem
Benhur de O. Stein,4,Homem
Cristiane Stamberg,11,Mulher
João Marcos Cavalcanti,1,Homem
Fábio Silva,7,Homem
Fabiola G. Nakamura,6,Mulher
Robson Melo,1,Homem
Ana Lúcia Machado,6,Mulher
Ligia Cristina Battezzati,8,Mulher
Ana Caroline C. Nascimento,10,Mulher
Pedro Clarindo da Silva Neto,3,Homem
Giancarlo F. Roberto,9,Homem
Isabelly Oliveira,6,Mulher
Simone Gama,7,Mulher
Tatiana Nilson dos Santos,2,Mulher
Sergio Cleger,1,Homem
Jéssica Azevedo,3,Mulher
Kaleandra C. Almeida,2,Mulher
Alan Diêgo Aurélio Carneiro,5,Homem
Raquel Bravo,7,Mulher
Alan D. A. Carneiro,5,Homem
Vanessa Dantas,10,Mulher
Éverton Fabian Jasinski,2,Homem
Jose Neto,4,Homem
Alex Gliesch,11,Homem
